pdb,dataset,n_pockets_true,n_pockets_pred,matched
1X7P_AB_,train,2,1,1
4PGH_AB_,train,2,1,0
5MVF_AB_,train,2,2,1
5N0S_AB_,train,2,1,1
1RFV_AB_,train,2,1,1
4IDG_AB_,train,2,1,1
5GME_AB_,train,2,1,0
3C4N_AB_,train,2,2,1
3SMS_AB_,train,2,2,1
1EFP_AB_,train,1,1,1
3KU1_A_,train,1,2,1
2NWB_ACBD_,train,2,1,1
1AO0_ACBD_,train,4,0,0
1S20_AB_,train,2,0,0
3QXY_AP_,train,1,1,1
5X6Y_AB_,train,3,0,0
2PBJ_AB_,train,2,2,2
3FWY_AB_,train,2,1,1
5GWX_A_,train,1,1,1
3VQR_AB_,train,2,1,1
6BE0_A_,train,1,1,0
2GC4_ACBD_,train,0,1,0
3DZV_ACD_,train,3,1,0
3VET_A_,train,2,1,1
3DJL_ACBD_,train,4,0,0
1JM6_AB_,train,2,1,1
3O7W_A_,train,1,1,1
4FZB_ACBD_,train,4,1,1
1JAY_AB_,train,2,2,1
4CNK_A_,train,1,1,1
4EUF_A_,train,1,1,1
1GTH_AB_,train,2,0,0
4QOR_ACBD_,train,4,5,0
1SIQ_ACBD_,train,4,1,1
1D4O_A_,train,1,1,1
3A4M_AB_,train,2,2,0
1TAE_A_,train,1,1,1
1XJK_AB_,train,2,3,0
5O0X_A_,train,1,1,1
1TOX_AC_,train,2,1,0
2FOI_ACBD_,train,2,2,1
5KP2_AB_,train,1,2,0
2QE6_A_,train,1,1,1
6BM5_A_,train,1,1,1
3ZBR_A_,train,1,1,1
1EYY_AD_,train,2,1,0
4GC9_A_,train,1,2,1
1Z5B_AB_,train,2,1,1
5TEG_AD_,train,1,1,1
3NX4_AB_,train,2,1,1
3BDJ_AB_,train,2,1,0
4BGA_AC_,train,2,1,0
1CFM_ACB_,train,3,2,2
4NL4_H_,train,1,0,0
5HG0_AB_,train,2,1,1
4JK3_A_,train,1,1,0
1LH3_A_,train,1,1,1
5WGV_A_,train,1,1,1
1SEZ_AB_,train,2,1,1
3MEK_A_,train,1,1,0
4V1T_ACBD_,train,2,0,0
2WN7_A_,train,1,1,1
1VLJ_AB_,train,2,2,1
1NKS_ACB_,train,0,0,0
2HRU_A_,train,1,1,0
5IHP_A_,train,1,0,0
3B6J_ACBD_,train,4,0,0
3GRY_A_,train,1,1,1
5OEB_A_,train,0,1,0
3PNB_AEDGFH_,train,6,0,0
4Z9D_A_,train,1,1,1
2J4D_A_,train,1,1,1
3HY6_A_,train,1,1,1
4X9N_A_,train,1,1,1
1TH8_ACBD_,train,2,1,1
1LSW_A_,train,1,1,1
2IL4_A_,train,1,1,1
5W7P_AB_,train,2,1,1
2ZQX_A_,train,1,1,1
5K7U_AB_,train,1,1,0
3V4S_AB_,train,1,1,0
2WET_AD_,train,2,0,0
3X0V_AC_,train,2,1,0
1W6U_ACBD_,train,4,0,0
4UQO_A_,train,1,1,1
5BW4_A_,train,1,1,1
1S66_UL_,train,2,1,1
2VDV_E_,train,1,1,1
6EDD_A_,train,1,1,1
2NXE_A_,train,1,1,1
4UUU_AB_,train,2,1,0
2VOU_AD_,train,2,1,1
3KLJ_A_,train,1,1,1
1HSK_A_,train,1,1,1
5EO2_AD_,train,2,2,1
4JXC_A_,train,1,1,1
4QJK_A_,train,1,1,1
4CW7_HG_,train,1,1,1
3PM9_AB_,train,2,0,0
5LXM_AD_,train,1,1,1
2R2G_AB_,train,2,1,1
1XX6_AB_,train,2,1,0
4N49_A_,train,1,1,0
2GSZ_ACBEDF_,train,1,0,0
1LSS_AB_,train,8,2,2
5EYG_AB_,train,2,0,0
3N7U_AB_,train,2,1,1
3FD6_AB_,train,2,1,1
3A0T_A_,train,1,1,1
2G3H_A_,train,1,1,1
3RNO_AB_,train,2,2,1
4YER_AB_,train,2,0,0
1FCD_AC_,train,1,1,0
1N6C_A_,train,1,1,1
2VAT_AI_,train,2,2,0
3E4W_A_,train,1,1,1
1Y81_A_,train,1,1,1
2NV4_AB_,train,2,2,2
3AR3_A_,train,1,1,1
4M20_ACBD_,train,2,1,1
6BWC_ACBEDF_,train,6,2,2
1VE3_AC_,train,2,1,0
3C9U_AB_,train,2,1,1
3A5L_SC_,train,1,1,1
4YSJ_A_,train,1,1,1
5K18_ABF_,train,1,1,1
3E8X_AB_,train,2,1,1
3C63_ACBD_,train,4,1,1
2BGI_A_,train,1,1,1
1UJ2_ACBD_,train,4,1,1
2PGN_ACBD_,train,4,2,2
3N65_AB_,train,2,1,1
2HTI_AB_,train,2,1,0
4HB6_A_,train,0,1,0
3A27_A_,train,1,1,1
2IYZ_A_,train,1,1,0
1NHG_ACBD_,train,2,2,2
2UUV_AB_,train,2,1,1
1CXY_A_,train,1,1,1
3TLX_A_,train,1,1,1
3TSU_A_,train,1,1,1
5CZY_A_,train,1,2,1
3OU6_AD_,train,2,1,1
2WM3_A_,train,1,1,1
4PRX_AB_,train,2,2,2
4OM8_AC_,train,2,1,0
6DZS_AB_,train,2,1,0
5IFW_ACBD_,train,4,0,0
2GQU_A_,train,1,1,1
4NE2_AC_,train,2,1,1
3KH5_A_,train,3,1,1
1ZH8_AB_,train,2,1,0
1S4E_A_,train,1,1,0
4FCW_A_,train,1,1,1
2X5U_HCML_,train,0,1,0
4PL4_AB_,train,2,2,2
3S6G_AXBY_,train,1,1,0
1W7K_A_,train,1,1,1
2IF8_A_,train,1,1,0
2IW5_AB_,train,1,0,0
2ZJ5_A_,train,1,0,0
4U0U_AB_,train,2,0,0
4E0I_AB_,train,2,1,1
6AWG_AB_,train,1,1,1
5ZAI_ACBEDF_,train,4,1,0
1BGN_AB_,train,2,2,2
3CAR_A_,train,4,1,1
2B9E_A_,train,1,1,1
6CII_A_,train,1,1,1
2H4F_AD_,train,1,1,1
5KLQ_C_,train,1,1,0
4IV9_AB_,train,2,2,2
3T7A_A_,train,1,1,1
3H8L_AB_,train,2,1,1
2REQ_AB_,train,1,1,0
2RGJ_A_,train,1,1,1
3TNQ_AB_,train,1,2,1
3NLC_A_,train,1,1,1
5BUK_A_,train,1,1,1
5IW4_AB_,train,2,1,1
5YJL_AB_,train,2,0,0
5MFA_A_,train,1,1,1
3BF1_AB_,train,2,2,1
1YLI_ACBEDF_,train,6,0,0
1G6O_ACBEDF_,train,6,2,1
4KVL_A_,train,1,1,1
3KPB_AB_,train,1,1,1
5GZA_A_,train,1,1,1
5VJ1_ACED_,train,1,1,0
2BAC_A_,train,1,1,1
5HBR_ACBD_,train,2,0,0
3U9E_AB_,train,4,2,2
1UM8_A_,train,1,1,1
3SYI_AB_,train,2,1,1
5JZX_AC_,train,2,1,1
2H63_AC_,train,2,2,2
4FIA_A_,train,1,1,0
4XGX_AB_,train,2,0,0
1EIZ_A_,train,1,1,1
3NWZ_ACBD_,train,1,1,0
3DIN_ACED_,train,1,0,0
3E23_A_,train,1,1,1
1R30_AB_,train,2,1,0
2C2C_A_,train,0,1,0
5HMN_CE_,train,2,1,1
2YWL_AB_,train,2,2,2
1DJN_AB_,train,2,1,0
5EGJ_ACBEDF_,train,6,1,0
4KRH_A_,train,1,1,1
4UUR_A_,train,1,1,1
1MJ9_A_,train,1,1,1
5MQ6_A_,train,1,1,0
2Q2R_AB_,train,2,1,0
1H2H_AB_,train,2,1,0
4H6Q_A_,train,1,1,1
5CM7_AB_,train,2,2,2
1VB6_AB_,train,2,2,1
5H6L_A_,train,1,1,1
1T6X_AB_,train,2,1,0
4NM5_ACB_,train,1,1,1
4EIC_A_,train,0,1,0
1ZAR_A_,train,1,1,1
4NJJ_AB_,train,2,2,2
1MOK_AB_,train,2,3,2
1VA6_A_,train,1,1,0
4KQB_A_,train,1,1,1
3BWC_AB_,train,2,1,0
3B9J_ACB_,train,1,1,1
3CR7_AB_,train,2,1,1
5TSG_ACBEDF_,train,4,1,0
3G89_A_,train,1,1,1
6AQP_ACBD_,train,3,1,1
2GF6_ABEF_,train,4,1,0
4X61_AB_,train,1,1,0
5LDG_A_,train,1,1,1
1N45_A_,train,1,1,1
2RGH_AB_,train,2,1,1
4LRS_ACBD_,train,2,2,0
1XA4_AB_,train,1,0,0
4BJZ_AB_,train,2,2,2
5B50_A_,train,1,1,1
2NUN_A_,train,1,1,1
3UDS_A_,train,1,1,1
1RI4_A_,train,1,1,1
1RYI_ABEF_,train,4,4,4
2D2I_ACBD_,train,4,0,0
5EC0_A_,train,1,1,1
5JR7_AB_,train,1,2,1
5K85_A_,train,0,1,0
5O9U_AC_,train,1,1,1
4WCX_A_,train,0,1,0
4UA3_A_,train,1,1,0
1GSA_ACBD_,train,4,1,1
1P91_AB_,train,2,1,1
4XF6_A_,train,1,1,1
2Y8Q_ABE_,train,1,1,1
2CH6_AD_,train,2,1,1
4PSW_ACB_,train,1,2,1
2GQ3_A_,train,1,0,0
5TTH_AB_,train,2,1,0
1PN0_AC_,train,2,1,1
4I3Z_AB_,train,1,1,1
6CIQ_AD_,train,2,1,0
2YZQ_A_,train,1,1,0
4HAN_ACBD_,train,2,1,0
5TKR_AB_,train,2,1,1
2YX6_AE_,train,0,1,0
6B2M_ACBEDF_,train,6,1,0
4FNH_AB_,train,2,1,1
3OUE_A_,train,0,1,0
5VLD_AB_,train,2,1,1
3RVD_ACBDIJ_,train,4,1,1
2QB5_A_,train,1,1,1
4DMG_AB_,train,2,1,0
2R79_ACBEDF_,train,6,1,1
3ZL8_A_,train,1,1,1
5IQX_A_,train,1,1,1
6C90_AB_,train,1,1,1
2JA3_AB_,train,2,1,0
4GUT_AB_,train,1,1,1
1YVK_ACBD_,train,4,1,0
3D2D_A_,train,1,1,1
6B5D_A_,train,1,1,1
3WV7_ACB_,train,1,2,1
4N09_A_,train,1,1,1
4U9Y_A_,train,1,1,1
3TPT_A_,train,1,1,1
2XAG_AB_,train,1,0,0
4ZV3_ACB_,train,3,0,0
4USQ_ACBF_,train,4,3,2
3LD2_A_,train,1,1,1
4UIQ_CB_,train,4,2,2
3LL9_AB_,train,2,0,0
4BUB_A_,train,1,1,1
2OZG_ACBEDF_,train,6,0,0
6F95_ACBED_,train,5,1,0
3SN5_A_,train,1,1,1
4K0B_ACBD_,train,2,1,1
6B3B_A_,train,1,1,0
3EMB_A_,train,1,1,1
2BUN_A_,train,1,1,1
3M6I_ACED_,train,4,0,0
4L78_A_,train,1,0,0
3QZX_AB_,train,2,2,2
5DJQ_ACBN_,train,2,1,0
1VPT_AB_,train,2,0,0
2O2Z_AB_,train,2,1,1
4OI2_A_,train,1,1,1
6A5K_A_,train,1,1,0
1EP3_ACBD_,train,2,1,0
3NYC_A_,train,1,1,1
3K9V_A_,train,1,1,1
3CR3_ACBD_,train,2,1,1
4Y9L_ACBD_,train,4,5,1
3AUX_AB_,train,2,0,0
3IQX_AB_,train,2,1,0
2HQ9_AB_,train,2,2,2
1X7D_AB_,train,2,2,2
2D0O_ACBD_,train,2,1,0
1DJL_AB_,train,2,1,1
3CEA_ACBD_,train,4,0,0
4UCK_A_,train,1,1,0
5T7E_ACEF_,train,4,2,0
5X1Y_CB_,train,2,1,1
5YWD_B_,train,2,2,1
5FRD_A_,train,1,1,1
4BC9_CD_,train,2,2,1
5GUX_HL_,train,0,0,0
5TVA_A_,train,1,1,1
4GX2_ABEF_,train,4,0,0
4BC2_A_,train,1,1,0
4EHY_A_,train,1,1,1
3GD3_A_,train,1,1,1
1RJD_A_,train,1,1,1
3I0O_A_,train,1,1,1
2A5H_ACBD_,train,4,2,0
3O8D_AB_,train,2,0,0
5C8T_AB_,train,1,1,1
5NFJ_A_,train,1,1,1
1JBQ_AB_,train,2,1,0
4RFQ_AB_,train,2,2,0
1DUW_A_,train,0,1,0
1EQM_A_,train,1,1,1
3F3S_A_,train,1,1,0
5F5N_AB_,train,2,1,1
6HFV_A_,train,1,1,1
5O8I_AB_,train,1,1,1
5EZ3_AB_,train,2,2,2
4XZD_A_,train,1,1,1
2O28_AB_,train,2,1,1
1DIR_ACBD_,train,4,0,0
6HEG_A_,train,1,1,0
5YF0_AB_,train,2,1,1
3ZBN_AB_,train,2,2,1
3MB5_ACBD_,train,4,0,0
3OA0_ACBD_,train,4,1,1
1GOS_AB_,train,2,2,0
2ZAO_A_,train,1,1,1
2GJ3_AB_,train,2,2,2
4RKN_ACB_,train,24,6,5
1Y3I_ACBD_,train,4,0,0
3VZD_ACBEDF_,train,2,0,0
2E2Q_AB_,train,2,1,1
3C4A_A_,train,1,1,0
2I0K_A_,train,1,1,0
