pdb,dataset,recall,precision,ligandIdx_true,true_pts_ligandIdx_pred,pred_pts_ligandIdx_pred,npoints_true,npoints_pred
1O9X_A_,test,0.7811320754716982,0.28512396694214875,3,3,3,265,726
5IFS_ACBD_,test,0.8561151079136691,0.7300613496932515,0,0,0,139,163
5IJZ_AGHKJL_,test,0.6865079365079365,0.4282178217821782,5,0,0,252,404
1KQN_ACBEDF_,test,0.9212598425196851,0.5142857142857142,4,4,2,254,455
1KQN_ACBEDF_,test,0.7976190476190477,0.78515625,4,4,4,252,256
1KQN_ACBEDF_,test,0.8620689655172413,0.6838905775075987,4,6,2,261,329
1KQN_ACBEDF_,test,0.9125475285171103,0.6936416184971098,4,6,2,263,346
1KQN_ACBEDF_,test,0.8146718146718147,0.6828478964401294,4,4,2,259,309
1KQN_ACBEDF_,test,0.980544747081712,0.6631578947368421,4,4,2,257,380
4NTC_AB_,test,0.53954802259887,0.9182692307692307,2,2,2,354,208
4NTC_AB_,test,0.5364431486880467,0.863849765258216,2,2,2,343,213
5W8A_A_,test,0.5886075949367089,0.8230088495575221,6,2,2,158,113
3RP7_A_,test,0.6727941176470589,0.732,2,2,2,272,250
2YP1_AC_,test,0.7669172932330827,0.8986784140969163,3,3,3,266,227
2YP1_AC_,test,0.6920289855072463,0.9095238095238095,3,3,3,276,210
5U25_AB_,test,0.8416149068322981,0.4363929146537842,2,2,2,322,621
5U25_AB_,test,0.8881789137380192,0.4212121212121212,2,2,2,313,660
5KPC_AB_,test,0.6685393258426966,0.3020304568527919,6,6,6,178,394
5KPC_AB_,test,0.7,0.26344086021505375,6,6,6,140,372
1IN5_A_,test,0.60625,0.7238805970149254,0,0,0,160,134
1K3D_A_,test,0.7579617834394905,0.9444444444444444,0,0,0,157,126
3HZL_A_,test,0.7083333333333334,0.6779141104294478,2,2,2,312,326
6BD9_AB_,test,0.6392405063291139,0.4519015659955257,2,2,5,316,447
6BD9_AB_,test,0.5159010600706714,0.6083333333333333,2,2,2,283,240
3TFG_A_,test,0.5136054421768708,0.8728323699421965,3,3,3,294,173
1U1I_ACBD_,test,0.7020408163265306,0.549520766773163,4,2,2,245,313
1U1I_ACBD_,test,0.8155737704918032,0.45852534562211983,4,0,0,244,434
2C54_AB_,test,0.9919028340080972,0.39325842696629215,4,2,2,247,623
2C54_AB_,test,0.976,0.37025796661608495,4,2,2,250,659
2YDX_BF_,test,1.0,0.7173333333333334,5,5,5,269,375
2YDX_BF_,test,0.9807692307692307,0.7264957264957265,5,0,0,260,351
6ARB_ACB_,test,0.8043478260869565,0.7034220532319392,1,1,5,230,263
6ARB_ACB_,test,0.7489361702127659,0.9411764705882353,1,1,1,235,187
6ARB_ACB_,test,0.7130044843049327,0.9352941176470588,1,1,1,223,170
2OI6_ACD_,test,0.746031746031746,0.5875,1,3,0,189,240
2OI6_ACD_,test,0.7180851063829787,0.5973451327433629,1,3,0,188,226
2OI6_ACD_,test,0.7336956521739131,0.531496062992126,1,1,1,184,254
1QV6_AB_,test,0.8582995951417004,0.743859649122807,4,2,3,247,285
1QV6_AB_,test,0.8492063492063492,0.7328767123287672,4,2,3,252,292
3PFG_AB_,test,0.9545454545454546,0.42376681614349776,6,6,4,198,446
3PFG_AB_,test,0.9132653061224489,0.4182242990654206,6,6,6,196,428
5NKV_AB_,test,0.9963898916967509,0.7885714285714286,3,3,3,277,350
5NKV_AB_,test,1.0,0.7486486486486487,3,3,3,277,370
2NOX_ACBD_,test,0.6937269372693727,0.4723618090452261,3,3,3,271,398
2NOX_ACBD_,test,0.8812949640287769,0.3602941176470588,3,2,2,278,680
4NWZ_AB_,test,0.5932203389830508,0.5555555555555556,2,2,2,295,315
4NWZ_AB_,test,0.6546052631578947,0.6257861635220126,2,2,2,304,318
1EVZ_AB_,test,0.6377551020408163,0.6756756756756757,4,5,5,196,185
1EVZ_AB_,test,0.6224489795918368,0.6740331491712708,4,5,5,196,181
3NE7_A_,test,0.7716535433070866,0.6086956521739131,1,1,1,254,322
4IHJ_ACBEDF_,test,0.6064516129032258,0.3003194888178914,0,0,0,155,313
2H3W_A_,test,0.540084388185654,0.44755244755244755,1,1,2,237,286
1WLV_ACBD_,test,0.5303030303030303,0.43388429752066116,1,1,1,198,242
6BXN_AB_,test,0.5486111111111112,0.626984126984127,6,0,3,144,126
2VVM_AB_,test,1.0,0.68389662027833,2,2,2,344,503
2VVM_AB_,test,1.0,0.7200854700854701,2,2,2,337,468
2YIU_ACBEDF_,test,0.993103448275862,0.6343612334801763,3,3,3,290,454
2YIU_ACBEDF_,test,0.9929824561403509,0.6302895322939867,3,3,3,285,449
3UJ7_A_,test,0.9067357512953368,0.6889763779527559,6,6,6,193,254
3PZC_AB_,test,0.6560509554140127,0.5754189944134078,1,2,2,157,179
1WPQ_AB_,test,0.6654135338345865,0.8309859154929577,4,0,0,266,213
1WPQ_AB_,test,0.7349397590361446,0.8318181818181818,4,0,0,249,220
2PR1_AB_,test,0.5604395604395604,0.7906976744186046,1,1,1,182,129
2PR1_AB_,test,0.5204081632653061,0.8360655737704918,1,1,1,196,122
1SOX_AB_,test,0.7675438596491229,0.6809338521400778,3,3,3,228,257
1SOX_AB_,test,0.8151260504201681,0.7854251012145749,3,3,3,238,247
5MBX_A_,test,0.5045045045045045,0.8442211055276382,2,2,2,333,199
2BFR_A_,test,0.5176470588235295,0.8,0,4,4,170,110
6FJH_AB_,test,0.8127090301003345,0.5664335664335665,2,2,2,299,429
6FJH_AB_,test,0.9717868338557993,0.5381944444444444,2,2,2,319,576
6FSA_AD_,test,0.7748344370860927,0.3786407766990291,0,0,0,151,309
1GLF_YXZO_,test,0.6598639455782312,0.42731277533039647,0,0,0,147,227
1GLF_YXZO_,test,0.5109489051094891,0.4794520547945205,0,0,0,137,146
5ICW_AB_,test,0.6556603773584906,0.8128654970760234,1,1,1,212,171
5ICW_AB_,test,0.7386934673366834,0.4310850439882698,1,1,1,199,341
2GAH_ACBD_,test,0.9270516717325228,0.4195323246217332,2,2,2,329,727
2A8X_AB_,test,0.6313993174061433,0.9390862944162437,2,2,2,293,197
2A8X_AB_,test,0.6484641638225256,0.8225108225108225,2,2,2,293,231
5U0M_AB_,test,0.5296442687747036,0.3228915662650602,4,2,2,253,415
5U0M_AB_,test,0.6401673640167364,0.3660287081339713,4,2,2,239,418
3QPV_AB_,test,0.7978142076502732,0.4755700325732899,0,0,0,183,307
3NT1_AB_,test,0.7682403433476395,0.8905472636815921,3,3,3,233,201
5KVS_AB_,test,0.6440677966101694,0.7069767441860465,5,5,5,236,215
5KVS_AB_,test,0.6386554621848739,0.6755555555555556,5,5,5,238,225
