pdb,true_pocket,pred_pocket,dataset,recall,precision,ligandIdx_true,true_pts_ligandIdx_pred,pred_pts_ligandIdx_pred,npoints_true,npoints_pred
5T5T_ACB_,0,0,test,0.9933774834437086,0.2824858757062147,0,0,0,151,531
1QV6_AB_,0,0,test,0.951417004048583,0.5340909090909091,4,2,3,247,440
4FRY_AB_,0,0,test,0.99581589958159,0.31151832460732987,4,0,0,239,764
3A1D_AB_,0,0,test,1.0,0.37585421412300685,0,0,0,165,439
5FSX_A_,0,0,test,0.9937106918238994,0.4450704225352113,0,4,4,159,355
3PFG_AB_,0,0,test,0.576530612244898,0.289002557544757,6,6,5,196,391
1MBT_A_,0,0,test,0.9968652037617555,0.4781954887218045,2,2,2,319,665
5NKV_AB_,0,0,test,0.6353790613718412,0.6263345195729537,3,3,3,277,281
5NKV_AB_,0,1,test,1.0,0.5618661257606491,3,3,3,277,493
2NOX_ACBD_,0,0,test,1.0,0.6495327102803738,3,2,2,278,428
4EFH_AB_,0,0,test,1.0,0.3693304535637149,0,0,0,171,463
5K8C_AB_,0,0,test,0.7883817427385892,0.3525046382189239,4,4,4,241,539
4R29_A_,0,0,test,1.0,0.44537815126050423,6,2,2,159,357
4NWZ_AB_,0,0,test,0.9967105263157895,0.5260416666666666,2,2,2,304,576
2PDR_A_,0,0,test,0.9664179104477612,0.6744791666666666,2,3,3,268,384
5TUM_A_,0,0,test,1.0,0.44651162790697674,2,4,4,288,645
3NE7_A_,0,0,test,0.9763779527559056,0.6246851385390428,1,1,1,254,397
1W2D_A_,0,0,test,0.9852941176470589,0.5403225806451613,0,0,1,136,248
3Q9N_AC_,0,0,test,0.8387096774193549,0.39543726235741444,1,5,5,248,526
3Q87_AB_,0,0,test,1.0,0.5949008498583569,6,6,6,210,353
2H3W_A_,0,0,test,0.5654008438818565,0.25918762088974856,1,1,2,237,517
6BXN_AB_,1,0,test,0.8958333333333334,0.4271523178807947,6,0,2,144,302
1QRR_AB_,0,0,test,0.981549815498155,0.3751763046544429,4,2,2,271,709
1QRR_AB_,0,1,test,0.8689138576779026,0.3531202435312024,4,2,2,267,657
2VVM_AB_,0,0,test,1.0,0.7211740041928721,2,2,2,344,477
2VVM_AB_,0,1,test,0.973293768545994,0.8179551122194514,2,2,2,337,401
2YIU_ACBEDF_,1,0,test,1.0,0.651685393258427,3,3,3,290,445
2YIU_ACBEDF_,0,2,test,1.0,0.6492027334851936,3,3,3,285,439
3UJ7_A_,0,0,test,1.0,0.3641509433962264,6,6,6,193,530
5FHF_A_,0,0,test,0.7567567567567568,0.1761006289308176,0,0,0,111,477
4GYI_A_,0,0,test,0.9142857142857143,0.4025157232704403,0,3,2,140,318
3DH0_A_,0,0,test,0.995,0.4461883408071749,6,6,1,200,446
4BLV_A_,0,0,test,1.0,0.43648960739030024,6,6,6,189,433
2BRA_A_,0,0,test,0.8350877192982457,0.5483870967741935,2,2,2,285,434
5O96_AB_,1,0,test,0.8516483516483516,0.7828282828282829,6,0,3,182,198
5O96_AB_,0,1,test,0.9875,0.5622775800711743,6,5,0,160,281
2PR1_AB_,0,0,test,0.9285714285714286,0.49852507374631266,1,1,1,182,339
1MWM_A_,0,0,test,1.0,0.23974763406940064,0,0,0,152,634
5MBX_A_,0,0,test,0.990990990990991,0.5436573311367381,2,2,2,333,607
3DBG_A_,0,1,test,0.8340080971659919,0.6821192052980133,3,3,2,247,302
1WG8_A_,0,0,test,0.7282608695652174,0.3073394495412844,6,6,1,184,436
2BFR_A_,0,0,test,1.0,0.44502617801047123,0,4,2,170,382
6FJH_AB_,0,0,test,0.8595317725752508,0.5775280898876405,2,2,2,299,445
1SG6_A_,0,0,test,0.9955947136563876,0.4224299065420561,4,0,0,227,535
4ZGP_A_,0,0,test,0.9817073170731707,0.33059548254620125,0,0,0,164,487
4UII_AB_,0,0,test,0.7108433734939759,0.43866171003717475,3,3,3,166,269
1YOA_AB_,0,0,test,0.8611111111111112,0.6966292134831461,2,1,1,216,267
1YOA_AB_,0,1,test,0.5874439461883408,0.7987804878048781,2,1,2,223,164
3EWK_A_,0,0,test,0.8536585365853658,0.7446808510638298,2,0,0,246,282
4ZNL_A_,0,0,test,0.9705882352941176,0.36666666666666664,0,0,0,102,270
2A2C_A_,0,0,test,1.0,0.3476297968397291,0,0,0,154,443
2IXB_AB_,1,0,test,1.0,0.5808656036446469,4,4,4,255,439
2A8X_AB_,1,0,test,1.0,0.5149384885764499,2,2,2,293,569
3WFJ_AE_,1,0,test,0.9913419913419913,0.37664473684210525,4,5,4,231,608
3WFJ_AE_,0,1,test,0.6798245614035088,0.5363321799307958,4,4,1,228,289
1SK7_A_,0,0,test,0.9683257918552036,0.5768194070080862,3,3,3,221,371
2G72_A_,0,0,test,1.0,0.5012224938875306,6,6,6,205,409
6BDD_A_,0,0,test,1.0,0.6616541353383458,3,3,3,264,399
5XXS_A_,0,0,test,0.9119170984455959,0.8110599078341014,1,1,1,193,217
3PZB_AB_,1,0,test,0.6260869565217392,0.51985559566787,5,5,5,230,277
2YZL_A_,0,0,test,1.0,0.27599243856332706,0,0,0,146,529
3T58_A_,0,0,test,0.9813664596273292,0.5031847133757962,2,2,2,322,628
5OBV_A_,0,0,test,0.9556962025316456,0.3268398268398268,0,0,0,158,462
1P0H_A_,0,0,test,0.7660550458715596,0.5170278637770898,1,1,1,218,323
4IEI_A_,0,0,test,1.0,0.36607142857142855,0,0,0,123,336
2CVX_AB_,0,0,test,1.0,0.5183823529411765,0,0,2,141,272
4XHP_A_,1,0,test,1.0,0.29636711281070743,0,0,0,155,523
3B1N_AB_,0,0,test,1.0,0.3179190751445087,0,0,0,165,519
3I9K_AB_,0,0,test,0.7891156462585034,0.8345323741007195,4,2,0,147,139
5FUK_AB_,0,0,test,0.9927797833935018,0.6773399014778325,3,3,3,277,406
1IYN_A_,0,0,test,1.0,0.47466216216216217,3,3,3,281,592
3J82_ACBD_,0,0,test,0.7037037037037037,0.17055655296229802,0,0,0,135,557
2WAT_ACB_,0,0,test,0.6871165644171779,0.7777777777777778,1,4,4,163,144
1IOV_A_,0,0,test,1.0,0.6038461538461538,0,0,6,157,260
4PZR_A_,0,0,test,0.8489795918367347,0.6341463414634146,1,1,1,245,328
3VBP_ACE_,2,0,test,0.616822429906542,0.3076923076923077,1,1,5,214,429
1ITH_ACBD_,2,0,test,0.5625,0.8622754491017964,3,3,3,256,167
1UT0_A_,0,0,test,0.9076305220883534,0.5794871794871795,3,3,3,249,390
4XQ9_AB_,0,0,test,0.8726591760299626,0.6229946524064172,4,0,0,267,374
6B58_AB_,0,0,test,1.0,0.651394422310757,2,2,2,327,502
4XZJ_A_,0,0,test,1.0,0.4760956175298805,4,4,4,239,502
2VF8_AB_,0,0,test,1.0,0.2781065088757396,0,0,0,141,507
5U5N_AB_,1,0,test,0.5745614035087719,0.35597826086956524,4,4,4,228,368
2VYW_A_,0,0,test,1.0,0.683377308707124,3,3,3,259,379
1BS1_A_,0,0,test,0.7280701754385965,0.3007246376811594,0,0,0,114,276
3CWQ_AB_,0,0,test,0.9922480620155039,0.579185520361991,0,0,0,129,221
5O0T_A_,1,0,test,1.0,0.5253549695740365,3,3,3,259,493
3NN4_ACBED_,1,0,test,1.0,0.6436781609195402,3,3,3,280,435
3NN4_ACBED_,0,1,test,0.9963369963369964,0.7064935064935065,3,3,3,273,385
3NN4_ACBED_,2,2,test,0.7956989247311828,0.75,3,3,3,279,296
1DLI_AB_,0,0,test,0.7874015748031497,0.5586592178770949,4,2,2,254,358
5E7P_A_,0,0,test,0.7786885245901639,0.13249651324965134,0,0,0,122,717
3W0P_A_,0,0,test,0.9032258064516129,0.4117647058823529,0,0,0,93,204
1NY3_A_,0,0,test,1.0,0.38726790450928383,0,0,0,146,377
5LJV_ACBEDF_,0,0,test,1.0,0.4329608938547486,0,0,0,155,358
1JTB_A_,0,0,test,0.5555555555555556,0.20435967302452315,1,1,3,135,367
2PSW_A_,0,0,test,0.7833333333333333,0.4034334763948498,1,1,1,240,466
5D4U_AC_,0,0,test,0.7965116279069767,0.3774104683195592,6,6,2,172,363
5D4U_AC_,0,1,test,0.7325581395348837,0.4077669902912621,6,6,2,172,309
3U8P_A_,0,0,test,1.0,0.5315985130111525,3,3,3,286,538
3BXZ_AB_,1,0,test,0.7796610169491526,0.22549019607843138,0,0,0,118,408
5LTI_A_,0,0,test,1.0,0.6593673965936739,3,3,3,271,411
4WH2_A_,0,0,test,0.9885714285714285,0.30244755244755245,0,0,0,175,572
5DCY_AC_,1,0,test,1.0,0.48172757475083056,5,5,2,290,602
4O6Y_AB_,2,0,test,0.9967637540453075,0.7493917274939172,3,3,3,309,411
5OC0_A_,0,0,test,0.9959016393442623,0.36541353383458647,3,3,3,244,665
4OTP_A_,0,0,test,0.9037037037037037,0.4959349593495935,0,3,3,135,246
4GW0_A_,0,0,test,1.0,0.28021015761821366,0,0,0,160,571
4PL9_A_,0,0,test,1.0,0.3819241982507289,0,0,1,131,343
5WY0_A_,0,0,test,0.9941860465116279,0.34063745019920316,6,6,6,172,502
4XHG_A_,0,0,test,0.9823008849557522,0.3546325878594249,0,0,0,113,313
5ODT_AB_,0,0,test,1.0,0.43911439114391143,0,0,0,119,271
3QVH_AB_,0,0,test,0.5982905982905983,0.2857142857142857,0,0,0,117,245
